job_id,job_title,company,location,job_description,experience,education,salary,job_type
1,Python Developer,Wipro,Bengaluru,We are hiring a Python Developer. Required skills: Python Django Flask PostgreSQL Pandas APIs. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech,7 LPA,Full-time
2,Python Developer,Wipro,Bengaluru,We are hiring a Python Developer. Required skills: Python Django Flask PostgreSQL Pandas APIs. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech,7 LPA,Full-time
3,Python Developer,Wipro,Bengaluru,We are hiring a Python Developer. Required skills: Python Django Flask PostgreSQL Pandas APIs. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech,7 LPA,Full-time
4,Data Analyst,Accenture,Hyderabad,We are hiring a Data Analyst. Required skills: SQL Excel Power BI Python Data Visualization. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,Graduate,5.5 LPA,Full-time
5,Backend Developer,LTIMindtree,Chennai,We are hiring a Backend Developer. Required skills: Java Spring Boot PostgreSQL Docker AWS. Experience: 3 Years. Strong communication and problem-solving skills are preferred.,3 Years,B.Tech,10 LPA,Remote
6,Java Developer,TCS,Mumbai,We are hiring a Java Developer. Required skills: Java Spring Boot Microservices Hibernate MySQL. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,B.E.,6 LPA,Full-time
7,Full Stack Developer,Infosys,Pune,We are hiring a Full Stack Developer. Required skills: Java Spring Boot React SQL REST APIs Git. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech,8 LPA,Full-time
8,Data Analyst,Accenture,Hyderabad,We are hiring a Data Analyst. Required skills: SQL Excel Power BI Python Data Visualization. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,Graduate,5.5 LPA,Full-time
9,Full Stack Developer,Infosys,Pune,We are hiring a Full Stack Developer. Required skills: Java Spring Boot React SQL REST APIs Git. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech,8 LPA,Full-time
10,Backend Developer,LTIMindtree,Chennai,We are hiring a Backend Developer. Required skills: Java Spring Boot PostgreSQL Docker AWS. Experience: 3 Years. Strong communication and problem-solving skills are preferred.,3 Years,B.Tech,10 LPA,Remote
11,Backend Developer,LTIMindtree,Chennai,We are hiring a Backend Developer. Required skills: Java Spring Boot PostgreSQL Docker AWS. Experience: 3 Years. Strong communication and problem-solving skills are preferred.,3 Years,B.Tech,10 LPA,Remote
12,Cloud Engineer,HCLTech,Bengaluru,We are hiring a Cloud Engineer. Required skills: AWS Docker Kubernetes Linux CI/CD. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech,8.5 LPA,Hybrid
13,AI/ML Engineer,Capgemini,Pune,We are hiring a AI/ML Engineer. Required skills: Python Scikit-learn TensorFlow NLP Machine Learning. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech AI,9 LPA,Full-time
14,Backend Developer,LTIMindtree,Chennai,We are hiring a Backend Developer. Required skills: Java Spring Boot PostgreSQL Docker AWS. Experience: 3 Years. Strong communication and problem-solving skills are preferred.,3 Years,B.Tech,10 LPA,Remote
15,AI/ML Engineer,Capgemini,Pune,We are hiring a AI/ML Engineer. Required skills: Python Scikit-learn TensorFlow NLP Machine Learning. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech AI,9 LPA,Full-time
16,Business Analyst,Deloitte,Mumbai,We are hiring a Business Analyst. Required skills: SQL Power BI Excel Stakeholder Communication. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,MBA,7 LPA,Hybrid
17,Business Analyst,Deloitte,Mumbai,We are hiring a Business Analyst. Required skills: SQL Power BI Excel Stakeholder Communication. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,MBA,7 LPA,Hybrid
18,Backend Developer,LTIMindtree,Chennai,We are hiring a Backend Developer. Required skills: Java Spring Boot PostgreSQL Docker AWS. Experience: 3 Years. Strong communication and problem-solving skills are preferred.,3 Years,B.Tech,10 LPA,Remote
19,Data Analyst,Accenture,Hyderabad,We are hiring a Data Analyst. Required skills: SQL Excel Power BI Python Data Visualization. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,Graduate,5.5 LPA,Full-time
20,Business Analyst,Deloitte,Mumbai,We are hiring a Business Analyst. Required skills: SQL Power BI Excel Stakeholder Communication. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,MBA,7 LPA,Hybrid
21,Business Analyst,Deloitte,Mumbai,We are hiring a Business Analyst. Required skills: SQL Power BI Excel Stakeholder Communication. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,MBA,7 LPA,Hybrid
22,Java Developer,TCS,Mumbai,We are hiring a Java Developer. Required skills: Java Spring Boot Microservices Hibernate MySQL. Experience: 1 Year. Strong communication and problem-solving skills are preferred.,1 Year,B.E.,6 LPA,Full-time
23,React Developer,Tech Mahindra,Noida,We are hiring a React Developer. Required skills: React JavaScript HTML CSS Redux REST API. Experience: Fresher. Strong communication and problem-solving skills are preferred.,Fresher,BCA,5 LPA,Full-time
24,AI/ML Engineer,Capgemini,Pune,We are hiring a AI/ML Engineer. Required skills: Python Scikit-learn TensorFlow NLP Machine Learning. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech AI,9 LPA,Full-time
25,React Developer,Tech Mahindra,Noida,We are hiring a React Developer. Required skills: React JavaScript HTML CSS Redux REST API. Experience: Fresher. Strong communication and problem-solving skills are preferred.,Fresher,BCA,5 LPA,Full-time
26,Full Stack Developer,Infosys,Pune,We are hiring a Full Stack Developer. Required skills: Java Spring Boot React SQL REST APIs Git. Experience: 2 Years. Strong communication and problem-solving skills are preferred.,2 Years,B.Tech,8 LPA,Full-time
